id,category,title,url,final_url,filename,saved_path,status,bytes,content_type,use,note,error
"PROD-012","products","马上消费金融产品信息公示","https://www.msxf.com/noticeDetail/91142","https://www.msxf.com/noticeDetail/91142","PROD-012_MSXF_product_information_disclosure.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-012_MSXF_product_information_disclosure.html","ok","26475","text/html; charset=utf-8","信用分期/循环额度/商品分期：额度、期数、利率、还款方式、IRR口径","",""
"PROD-013","products","中邮消费金融官网首页/邮你贷产品信息","https://www.youcash.com/","https://www.youcash.com/","PROD-013_Youcash_Zhongyou_product_home.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-013_Youcash_Zhongyou_product_home.html","ok","62596","text/html; charset=utf-8","邮你贷最高20万、最长36期、年化利率5.04%-23.76%单利","",""
"PROD-014","products","招联金融官网产品页","https://www.mucfc.com/product/","https://www.mucfc.com/product/","PROD-014_MUCFC_Zhaolian_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-014_MUCFC_Zhaolian_product.html","ok","2176","text/html; charset=UTF-8","招联好期贷/信用付产品体系、额度30万、期限60个月入口","",""
"CARD-001","credit_card","中国银行信用卡服务收费及计息方式说明","https://www.boc.cn/bcservice/bc3/bc31/201203/t20120331_1767028.html","https://www.boc.cn/bcservice/bc3/bc31/201203/t20120331_1767028.html","CARD-001_BOC_credit_card_fee_and_interest.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-001_BOC_credit_card_fee_and_interest.html","ok","38081","text/html","信用卡分期、现金分期、专项分期费率和近似折算年化利率","",""
"CARD-002","credit_card","中国银行信用卡消费分期产品页","https://www.boc.cn/bcservice/bc5/bc53/202212/t20221204_22635230.html","https://www.boc.cn/bcservice/bc5/bc53/202212/t20221204_22635230.html","CARD-002_BOC_credit_card_consumption_installment.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-002_BOC_credit_card_consumption_installment.html","ok","30847","text/html","消费分期期数、基准分期利率、近似折算年化利率","",""
"CARD-003","credit_card","中国银行信用卡卡户分期付款业务约定条款 PDF","https://www.boc.cn/bcservice/bi2/202111/P020211129677522574837.pdf","https://www.boc.cn/bcservice/bi2/202111/P020211129677522574837.pdf","CARD-003_BOC_credit_card_installment_terms.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-003_BOC_credit_card_installment_terms.pdf","ok","1183808","application/pdf","信用卡现金分期/账单分期条款","",""
"CARD-004","credit_card","建设银行龙卡信用卡账单分期付款业务约定条款","https://ccb.com/cn/creditcard/installment/check/fqgl/operation_clause.html","https://ccb.com/cn/creditcard/installment/check/fqgl/operation_clause.html","CARD-004_CCB_credit_card_bill_installment_terms.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-004_CCB_credit_card_bill_installment_terms.html","ok","119053","","每期本金=本金/期数，每期分期利息=本金*每期分期利率","",""
"CARD-005","credit_card","建设银行龙卡信用卡分期通业务约定条款 PDF","https://www.ccb.com/cn/creditcard/service/upload/20230117141428375119.pdf","https://www.ccb.com/cn/creditcard/service/upload/20230117141428375119.pdf","CARD-005_CCB_credit_card_fenqitong_terms.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-005_CCB_credit_card_fenqitong_terms.pdf","ok","637334","","专项分期额度、每期本金、分期利息收取方式","",""
"CARD-006","credit_card","农业银行信用卡现金分期细则","https://www.abchina.com/cn/creditcard/wealthmanagement/xykts/201603/t20160317_850342.htm","https://www.abchina.com/cn/creditcard/wealthmanagement/xykts/201603/t20160317_850342.htm","CARD-006_ABC_credit_card_cash_installment_rules.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-006_ABC_credit_card_cash_installment_rules.html","ok","68729","text/html","现金分期、逾期利息日万五、违约金最低还款额未偿还部分5%","",""
"CARD-007","credit_card","农业银行信用卡卡户分期付款业务条款及细则 PDF","https://www.abchina.com/cn/CreditCard/AboutUs/Update/202510/W020251029598620797047.pdf","https://www.abchina.com/cn/CreditCard/AboutUs/Update/202510/W020251029598620797047.pdf","CARD-007_ABC_credit_card_installment_terms_2025.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\credit_card\CARD-007_ABC_credit_card_installment_terms_2025.pdf","ok","234982","application/pdf","分期本金、分期利息、近似折算年化利率、逾期利息","",""
